apartment_id,apartment_nm,apartment_price,region_cd,region_nm,exclusive_area,deleted_yn,created_at,updated_at
1,1'st이지움,90000000,41171,경기도 안양시 만안구,7,0,2024.5.22 10:19,2024.5.22 10:19
2,1차동원,130000000,48250,경상남도 김해시,18,0,2024.5.22 10:19,2024.5.22 10:19
3,1차삼성,167000000,26530,부산광역시 사상구,18,0,2024.5.22 10:19,2024.5.22 10:19
4,21세기,126000000,48250,경상남도 김해시,18,0,2024.5.22 10:19,2024.5.22 10:19
5,2단지주공,200000000,43113,충청북도 청주시 흥덕구,18,0,2024.5.22 10:19,2024.5.22 10:19
6,2차금류강남타운,163000000,47830,경상북도 고령군,26,0,2024.5.22 10:19,2024.5.22 10:19
7,2차쌍용,160000000,52113,전북특별자치도 전주시 덕진구,26,0,2024.5.22 10:19,2024.5.22 10:19
8,2차한양아파트,1270000000,11710,서울특별자치시 송파구,19,0,2024.5.22 10:19,2024.5.22 10:19
9,73신암시영,70000000,27140,대구광역시 동구,11,0,2024.5.22 10:19,2024.5.22 10:19
10,A9블럭신원마을호반베르디움,552000000,41281,경기도 고양시 덕양구,26,0,2024.5.22 10:19,2024.5.22 10:19
11,AM-City,68000000,29170,광주광역시 북구,9,0,2024.5.22 10:19,2024.5.22 10:19
12,BK팰리스아파트,235000000,41281,경기도 고양시 덕양구,15,0,2024.5.22 10:19,2024.5.22 10:19
13,CASA90,280000000,41463,경기도 용인시 기흥구,15,0,2024.5.22 10:19,2024.5.22 10:19
14,CJ아파트101동,268000000,41115,경기도 수원시 팔달구,17,0,2024.5.22 10:19,2024.5.22 10:19
15,DMCSKVIEW,1655000000,11380,서울특별시 은평구,34,0,2024.5.22 10:19,2024.5.22 10:19
16,DMC두산위브더퍼스트,582000000,41281,경기도 고양시 덕양구,18,0,2024.5.22 10:19,2024.5.22 10:19
17,DMC래미안e편한세상,1080000000,11410,서울특별시 서대문구,26,0,2024.5.22 10:19,2024.5.22 10:19
